Indexed URL,Title,Location,Date Added,Date Ended,Company,Phone,Website,Error
https://www.segwayguidedtours.com/tour.cfm?Tour=129,Segway New Zealand Ltd,"Auckland, New Zealand",Added: 11/24/05,,Tour Company:Segway New Zealand Ltd,+64 21 669 649,www.segway.co.nz,
https://www.segwayguidedtours.com/tour.cfm?Tour=131,SegwayEvents,"Brussels, Belgium",Added: 12/1/05,,Tour Company:SegwayEvents,+32 3 860 60 80,www.SegwayEvents.be,
https://www.segwayguidedtours.com/tour.cfm?Tour=130,Segway Off-Road,"Oakland, California",Added: 11/30/05,,Tour Company:Segway Off-Road,510.517-9533,www.SegwayOffroad.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=135,Segway Los Angeles,"Santa Monica, California",Added: 12/15/05,,Tour Company:Segway Los Angeles,310.395-1395,www.segway.la,
https://www.segwayguidedtours.com/tour.cfm?Tour=136,Segway Tours Ciudad de Mexico,"Mexico City, Mexico",Added: 12/19/05,,Tour Company:Segway Tours Ciudad de Mexico,www.segwaytours.com.mx,Mexico City Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=138,Segwaymallorca,"Palma De Mallorca, Spain",Added: 12/22/05,,Tour Company:Segwaymallorca,0034666443575,www.Segwaymallorca.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=137,The Segway Experience,"The Woodlands, Texas",Added: 12/21/05,,Tour Company:The Segway Experience,713.933-SEGS,www.TheSegwayExperience.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=139,"UAB ""Super SEGWAY""","Vilnius, Lithuania",Added: 12/29/05,,"Tour Company:UAB ""Super SEGWAY""",+37061234444,www.supersegway.lt,
https://www.segwayguidedtours.com/tour.cfm?Tour=146,You Can!! Segway HT,"Las Vegas, Nevada",Added: 1/12/06,,Tour Company:You Can!! Segway HT,702.338-8013,www.LasVegasSegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=168,Blobject,"Seville, Spain",Added: 4/3/06,11/08/2024,Tour Company:Blobject,+34 954227733,www.Blobject.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=162,ETUR,"Toledo, Spain",Added: 2/28/06,,Tour Company:ETUR,925256585,www.e-tur.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=158,Tampa Bay Segs,"St. Petersburg, Florida",Added: 2/19/06,,Tour Company:Tampa Bay Segs,727.772-3639,www.TampaBaySegs.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=176,Italy Segway Tours,"Rome, Italy",Added: 4/27/06,,Tour Company:Italy Segway Tours,+39 055 2398855,www.ItalySegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=164,Segway of Hawaii,"Oahu - Honolulu, Hawaii",Added: 3/7/06,,Tour Company:Segway of Hawaii,808.941-3151,www.SegwayOfHawaii.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=165,Carolina Segway,"Greenville, South Carolina",Added: 3/10/06,,Tour Company:Carolina Segway,864.230-2490,www.CarolinaSegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=174,Segway Nederland,"'S-Hertogenbosch, Netherlands",Added: 4/21/06,,Tour Company:Segway Nederland,+31(0)73 613100,www.segway.nl,
https://www.segwayguidedtours.com/tour.cfm?Tour=177,Sonoma Segway,"Sonoma, California",Added: 4/27/06,,Tour Company:Sonoma Segway,www.SonomaSegway.com,Sonoma Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=178,Nida Segway Tours,"Nida, Lithuania",Added: 4/29/06,,Tour Company:Nida Segway Tours,+370 61134444,www.SuperSegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=179,Segway of Ontario,"Toronto, Canada",Added: 4/29/06,,Tour Company:Segway of Ontario,866.405-8687,www.SegwayOfOntario.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=180,Segway Citytour,"Hamburg, Germany",Added: 5/3/06,,Tour Company:Segway Citytour,040 - 47 11 33 00,Hamburg.Segway-Citytour.de,
https://www.segwayguidedtours.com/tour.cfm?Tour=181,Destinos Manchegos,"La Mancha, Spain",Added: 5/7/06,,Tour Company:Destinos Manchegos,902 02 65 15,www.DestinosManchegos.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=191,Body electric,"Wellington, New Zealand",Added: 6/14/06,,Tour Company:Body electric,0800 600 155,www.bodyelectric.co.nz,
https://www.segwayguidedtours.com/tour.cfm?Tour=188,Ride 'N Glide,"Ventnor - Atlantic City, New Jersey",Added: 6/11/06,,Tour Company:Ride 'N Glide,609.823-3232,www.ridenglide.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=195,Segway Point,"Prague, Czech Republic",Added: 7/6/06,,Tour Company:Segway Point,+420602123500,www.segway-point.cz,
https://www.segwayguidedtours.com/tour.cfm?Tour=194,Segway of Hampton Roads,"Virginia Beach, Virginia",Added: 6/26/06,,Tour Company:Segway of Hampton Roads,757.412-9734,www.SegwayOfHamptonRoads.us,
https://www.segwayguidedtours.com/tour.cfm?Tour=200,SegRide Tours,"Smugglers Notch, Vermont",Added: 7/8/06,,Tour Company:SegRide Tours,www.smuggs.com,Smugglers Notch Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=197,Inocau,"L'estartit, Spain",Added: 7/8/06,,Tour Company:Inocau,+34 677 271 414,www.inocau.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=199,EcomotionTours,"Fort George Island, Florida",Added: 7/8/06,,Tour Company:EcomotionTours,www.EcomotionTours.com,Fort George Island Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=205,Citysegway,"Oviedo, Spain",Added: 7/19/06,,Tour Company:Citysegway,+34 666 734 577,www.citysegway.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=206,CITYSEGWAY,"Madrid, Spain",Added: 7/19/06,,Tour Company:CITYSEGWAY,+34 902 431 623,www.segway-madrid.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=207,CITYSEGWAY,"Palma De Mallorca, Spain",Added: 7/19/06,,Tour Company:CITYSEGWAY,+34 971 495 274,www.citysegway.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=208,CITYSEGWAY,"Santander, Spain",Added: 7/19/06,,Tour Company:CITYSEGWAY,+34 626 231 810,www.citysegway.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=210,CITYSEGWAY,"Leon, Spain",Added: 7/19/06,,Tour Company:CITYSEGWAY,+34 902 431 623,www.citysegway.es,
https://www.segwayguidedtours.com/tour.cfm?Tour=213,"SEGWAY VALENCIA, S.L.","Valencia, Spain",Added: 7/27/06,,"Tour Company:SEGWAY VALENCIA, S.L.",+34 666 714 838,www.SegwayValencia.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=214,"Segway of Annapolis, Segnation","Annapolis, Maryland",Added: 7/27/06,,"Tour Company:Segway of Annapolis, Segnation",877.SEGWAYHT,www.Segnation.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=216,M. Cruz Rentals,"Fort Lauderdale, Florida",Added: 8/11/06,,Tour Company:M. Cruz Rentals,954.235-5082,www.mcruzrentals.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=220,Segway of Jacksonville,"Jacksonville, Oregon",Added: 9/1/06,,Tour Company:Segway of Jacksonville,541.899-5269,www.SegwayOfJacksonville.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=226,Segway Tours of Bermuda,"Ireland Island, Bermuda",Added: 9/23/06,,Tour Company:Segway Tours of Bermuda,441.504-2581,www.bermuda.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=227,urbanmovil,"Madrid, Spain",Added: 9/26/06,,Tour Company:urbanmovil,0034687535443,www.urbanmovil.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=231,Segwayplayadepalma,"Palma De Mallorca, Spain",Added: 10/18/06,,Tour Company:Segwayplayadepalma,34 605-666365,www.segwayplayadepalma.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=235,Segway Zaragoza,"Zaragoza, Spain",Added: 11/3/06,,Tour Company:Segway Zaragoza,+34 976399201,www.SegwayAragon.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=236,Colorado Adventure -Segway Tours,"Denver, Colorado",Added: 11/9/06,,Tour Company:Colorado Adventure -Segway Tours,303.449-6754,www.ColoradoAdventureSegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=242,Segway on Q,"Queenstown, New Zealand",Added: 11/13/06,,Tour Company:Segway on Q,+64 3 442 8687,www.SegwayOnQ.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=245,Segway Of Coronado,"Coronado, California",Added: 11/18/06,,Tour Company:Segway Of Coronado,888.522-9011,www.SegwayOfCoronado.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=247,Manatee Segway Tours Inc,"Bradenton, Florida",Added: 11/25/06,,Tour Company:Manatee Segway Tours Inc,941.224-8079,www.ManateeSegwayTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=246,Segway Tours Israel,"Tel Aviv, Israel",Added: 11/22/06,,Tour Company:Segway Tours Israel,972-3-5447373,www.2all.co.il/Web/Sites/segwaytours972/,
https://www.segwayguidedtours.com/tour.cfm?Tour=249,City Scoots,"Baltimore, Maryland",Added: 12/12/06,,Tour Company:City Scoots,443.983-0419,www.CityScoots.net,
https://www.segwayguidedtours.com/tour.cfm?Tour=250,City Scoots,"Frederick, Maryland",Added: 12/12/06,,Tour Company:City Scoots,443.983-0419,www.CityScoots.net,
https://www.segwayguidedtours.com/tour.cfm?Tour=258,"Segway of Indiana, LLC","Carmel, Indiana",Added: 1/5/07,,"Tour Company:Segway of Indiana, LLC",317.569-0879,www.segwayofindiana.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=259,Zaragozea,"Zaragoza, Spain",Added: 12/22/06,,Tour Company:Zaragozea,+34 976398522,www.Zaragozea.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=260,Segway Tours Girona,"Girona, Spain",Added: 1/10/07,,Tour Company:Segway Tours Girona,+34972218144,www.sobrerodes.cat,
https://www.segwayguidedtours.com/tour.cfm?Tour=264,Segventure,"Oahu - Honolulu, Hawaii",Added: 1/17/07,,Tour Company:Segventure,808.341-6537,www.segventure.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=265,SK Northwest,"Portland, Oregon",Added: 1/18/07,,Tour Company:SK Northwest,www.SKnorthwest.com,Portland Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=266,TriState Segway,"Leesburg, Virginia",Added: 1/18/07,,Tour Company:TriState Segway,www.segsational.com,Leesburg Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=267,Segway In Paradise,"Pittsburgh, Pennsylvania",Added: 1/25/07,,Tour Company:Segway In Paradise,412.337-3941,www.SegwayInParadise.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=274,Segway South Africa,"Livingstone, Zambia",Added: 2/22/07,09/05/2012,Tour Company:Segway South Africa,+260 3 323232,www.segway.co.za,
https://www.segwayguidedtours.com/tour.cfm?Tour=272,Segway the Door Tours,"Door County, Wisconsin",Added: 10/31/05,,Tour Company:Segway the Door Tours,920.376-0256,www.SegwayTheDoor.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=277,Coast Segways,"Depoe Bay, Oregon",Added: 3/9/07,,Tour Company:Coast Segways,541.992-4000,www.CoastSegways.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=278,Moving Sidewalk Tours,"Asheville, North Carolina",Added: 3/10/07,,Tour Company:Moving Sidewalk Tours,828.776-TOUR,www.MovingSidewalkTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=280,"Moving Forward Rentals, LLC","Sea Isle City, New Jersey",Added: 3/14/07,,"Tour Company:Moving Forward Rentals, LLC",877-SEGWAYS,www.MovingForwardRentals.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=281,Segway Caribe Dominicano,"Punta Cana, Dominican Republic",Added: 3/15/07,,Tour Company:Segway Caribe Dominicano,001 829 470 1367,www.SegwayEcoTour.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=291,Glide St. Louis Tours,"St. Louis, Missouri",Added: 4/2/07,,Tour Company:Glide St. Louis Tours,www.GlideStLouisTours.com,St. Louis Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=279,Super Segway,"Druskininkai, Lithuania",Added: 3/11/07,,Tour Company:Super Segway,+37061007666,www.SuperSegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=287,"22nd Century Tours, L.L.C.","Shreveport, Louisiana",Added: 3/27/07,,"Tour Company:22nd Century Tours, L.L.C.",318.230-8331,www.22ndCenturyTours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=292,Segway Of Coronado,"San Diego, California",Added: 4/4/07,,Tour Company:Segway Of Coronado,619.522-9011,www.SegwayOfCoronado.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=299,"I Glide Italy, Srl.","Rome, Italy",Added: 5/7/07,,"Tour Company:I Glide Italy, Srl.",39.06.42014533,www.iglidetours.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=303,"Segway Tours PR, Inc","Old San Juan, Puerto Rico",Added: 5/10/07,,"Tour Company:Segway Tours PR, Inc",787.598-9455,www.SegwayToursPR.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=306,TEKNOKALE Corporation Limited,"Bodrum, Turkey",Added: 5/15/07,,Tour Company:TEKNOKALE Corporation Limited,www.SegwayKiralama.com,Bodrum Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=308,Super Segway,"Palanga, Lithuania",Added: 5/16/07,,Tour Company:Super Segway,+37065934444,www.SuperSegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=311,TEKNOKALE Corporation Limited,"Belek, Turkey",Added: 5/15/07,,Tour Company:TEKNOKALE Corporation Limited,www.SegwayKiralama.com,Belek Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=314,Glide4fun,"Lake Las Vegas, Nevada",Added: 5/27/07,,Tour Company:Glide4fun,702.376-3334,www.Glide4fun.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=312,Segway Barcelona,"Barcelona, Spain",Added: 5/17/07,,Tour Company:Segway Barcelona,+34934948462,www.SegwayBCN.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=313,Alamo Segway,"San Antonio, Texas",Added: 5/27/07,,Tour Company:Alamo Segway,210.223-2112,www.AlamoSegway.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=316,MOVINGACTION SEGWAYTOURS & EVENTS,"Berlin, Germany",Added: 5/27/07,,Tour Company:MOVINGACTION SEGWAYTOURS & EVENTS,+49 (0) 177 555 00 06,www.movingaction.de,
https://www.segwayguidedtours.com/tour.cfm?Tour=324,"Segway of Indiana, LLC","South Bend, Indiana",Added: 6/13/07,,"Tour Company:Segway of Indiana, LLC",574.286-8899,www.segwayofindiana.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=323,"Segway of Indiana, LLC","Indianapolis, Indiana",Added: 6/13/07,,"Tour Company:Segway of Indiana, LLC",317.569-0879,www.segwayofindiana.com,
https://www.segwayguidedtours.com/tour.cfm?Tour=328,Parrot Key Guided Segway Tours,"Fort Myers Beach, Florida",Added: 7/10/07,,Tour Company:Parrot Key Guided Segway Tours,239.464-7849,Fort Myers Beach Travel Guides,
https://www.segwayguidedtours.com/tour.cfm?Tour=330,Cape Fear Segway,"Wilmington, North Carolina",Added: 7/10/07,,Tour Company:Cape Fear Segway,910.251-2572,www.CapeFearSegway.com,
